brand,price,reference,title
https://www.tunisianet.com.tn/874_swatch,"219,000 DT",[GE720],Montre Mixte Swatch ULTRASOLEIL GE720
https://www.tunisianet.com.tn/874_swatch,"219,000 DT",[GE713],Montre Mixte Swatch ULTRACIEL GE713
https://www.tunisianet.com.tn/874_swatch,"235,000 DT",[SUOB702],Montre Mixte Swatch Black REBEL SUOB702
https://www.tunisianet.com.tn/874_swatch,"235,000 DT",[SUOK717],Montre Pour Femme Swatch Polared SUOK717
https://www.tunisianet.com.tn/874_swatch,"235,000 DT",[SUOB404],Montre Mixte Swatch Charcolazing SUOB404
https://www.tunisianet.com.tn/874_swatch,"235,000 DT",[SUOM709],Montre Pour Homme Swatch GREY RAILS SUOK714
https://www.tunisianet.com.tn/874_swatch,"235,000 DT",[SUOR402],Montre Mixte Swatch BURGUNDAZING SUOR402
https://www.tunisianet.com.tn/874_swatch,"235,000 DT",[SUON714],Montre Pour Homme Swatch BLUE RAILS SUON714
https://www.tunisianet.com.tn/874_swatch,"235,000 DT",[SUOB185],Montre Mixte Swatch Hate 2 Love SUOB185
https://www.tunisianet.com.tn/874_swatch,"235,000 DT",[SUOB704],Montre Mixte Swatch DARK REBEL SUOB704
https://www.tunisianet.com.tn/874_swatch,"249,000 DT",[SUOV106],Montre pour Femme Swatch Purple Rings SUOV106
https://www.tunisianet.com.tn/874_swatch,"289,000 DT",[YSB101],Montre pour Femme Swatch Lost Moon YSB101
https://www.tunisianet.com.tn/874_swatch,"289,000 DT",[YSS300G],Montre Pour Femme Swatch Gradino YSS300G
https://www.tunisianet.com.tn/874_swatch,"290,000 DT",[S027N100],Montre Pour Homme Swatch BBNAVY SO27N100
https://www.tunisianet.com.tn/874_swatch,"290,000 DT",[S027B101],Montre Pour Homme Swatch BBBLUE SO27B101
https://www.tunisianet.com.tn/439_hikvision,"189,000 DT",[DS-D5019QE-B],"Ecran Pro 24/7 Hikvision 18.5"" FHD DS-D5019QE-B"
https://www.tunisianet.com.tn/29_dell,"199,000 DT",[E1916HV],"Ecran Dell 18.5"" HD E1916HV"
https://www.tunisianet.com.tn/6_hp,"217,000 DT",[T3U83AA],"Écran 20"" WXGA LED HP 20kd"
https://www.tunisianet.com.tn/270_versus,"219,000 DT",[940064],"Ecran Versus 21.5"" LED HD"
https://www.tunisianet.com.tn/29_dell,"229,000 DT",[E2016HV],"Ecran Dell 19.5"" E2016HV"
https://www.tunisianet.com.tn/13_acer,"229,000 DT",[UM.IV6EE.A01],"Ecran Acer 19.5"" HD LED V206HQL"
https://www.tunisianet.com.tn/6_hp,"239,000 DT",[1FR84AS.],"Écran HP V214a 20.7"" Full HD"
https://www.tunisianet.com.tn/29_dell,"249,000 DT",[E2016H],"Ecran Dell 19.5"" E2016H"
https://www.tunisianet.com.tn/29_dell,"259,000 DT",[E2020H],"Ecran Dell 20"" LCD HD LED E2020H"
https://www.tunisianet.com.tn/3_lenovo,"269,000 DT",[61FFKAT6EU-3Y],"Ecran Lenovo D22-17 / 21.5"" Full HD"
