brand,category,country,currency,description,domain,image,price,pricestring,reference,subcategory,timestamp,title,url
17_noname,Accessoires et Périphériques,TN,TND,Connecteur BNC,tunisianet.com.tn,https://www.tunisianet.com.tn/67531-home/tapis-souris-noir.jpg,"1,000","1,000 DT",L110603,Accessoires et Périphériques,2021-05-01 00:00:35.501161,Tapis souris Noir,https://www.tunisianet.com.tn/tapis-souris-tunisie/23478-tapis-souris-noir.html
29_dell,Ordinateur de Bureau,TN,TND,"Ecran Dell 18.5"" HD - Résolution 1366 ",tunisianet.com.tn,https://www.tunisianet.com.tn/77100-home/ecran-dell-195-e2016hv.jpg,"229,000","229,000 DT",E2016HV,Ordinateur de Bureau,2021-05-01 00:00:35.763428,"Ecran Dell 19.5"" E2016HV",https://www.tunisianet.com.tn/ecran-ordinateur-tunisie/25794-ecran-dell-195-e2016hv.html
806_itel-m,Téléphone Portable,TN,TND,- Réseau 2G - Caméra: ,tunisianet.com.tn,https://www.tunisianet.com.tn/186720-home/telephone-portable-itel-2160-double-sim-noir.jpg,"37,000","37,000 DT",ITEL-2160-BK,Téléphone Portable,2021-05-01 00:00:36.072018,Téléphone Portable  ITEL 2160 / Double SIM / Noir,https://www.tunisianet.com.tn/telephonie-tablette/46425-telephone-portable-itel-2160-double-sim-noir.html
48_eaton,Onduleur,TN,TND,Onduleur In-Line UPSET MA 650 - Puissance 650VA / 390 W - Dimensions: 308 x 98 x 170 mm - 2x Prise Schuko + - Autonomie 10 Minutes - 1x Batteries 12V / 7Ah - Niveau Sonore < 40 dBA - Fréquence 50 / 60 Hz ± 10% - Garantie 2 ans (Batterie 1 an),tunisianet.com.tn,https://www.tunisianet.com.tn/158572-home/multiprise-parafoudre-6-prises-avec-protection-telephonique.jpg,"42,000","42,000 DT",PS6TF,Onduleur,2021-05-01 00:00:36.281560,Multiprise parafoudre 6 prises avec protection téléphonique,https://www.tunisianet.com.tn/multiprise/41086-multiprise-parafoudre-6-prises-avec-protection-telephonique.html
874_swatch,Swatch,TN,TND,Montre Swatch CASUAL GREEN LK397 Pour Femme - Fonctions: Date & Heure ,tunisianet.com.tn,https://www.tunisianet.com.tn/197005-home/montre-swatch-casual-green-lk397-pour-femme.jpg,"189,000","189,000 DT",LK397,Swatch,2021-05-01 00:00:36.497200,Montre Swatch CASUAL GREEN LK397 Pour Femme,https://www.tunisianet.com.tn/swatch/48555-montre-swatch-casual-green-lk397-pour-femme.html
569_estap,Serveur informatique,TN,TND,"Processeur Intel Xeon Quad Core E-2224G, 3.5 Ghz, 8 Mo de mémoire cache - Mémoire 8 Go DDR4 UDIMM, 2400 MT - Disque SATA 1 To, 7200 Rpm - Graveur DVD - Garantie 1 an",tunisianet.com.tn,https://www.tunisianet.com.tn/192075-home/vis-et-ecrous-cage-m6-vis-rondelles-lot-de-20.jpg,"21,900","21,900 DT",KFS6X15-20,Serveur informatique,2021-05-01 00:00:36.630537,Vis et écrous cage M6 Vis Rondelles / Lot de 20,https://www.tunisianet.com.tn/serveur-informatique-tunisie/47610-vis-et-ecrous-cage-m6-vis-rondelles-lot-de-20.html
96_bitdefe,Logiciels,TN,TND,"Antivirus Bitdefender Internet Security - Licence 1 Poste - Durée 1 an - Protège contre les virus, les logiciels espions, le phishing et les sites Web dangereux - Sécurise votre ordinateur sans le ralentir - S’installe et se configure facilement - Préserve la confidentialité de vos activités en ligne et de votre identité - Protection bancaire - Contrôle parental - Compatible avec PC, Mac et appareils mobiles",tunisianet.com.tn,https://www.tunisianet.com.tn/191581-home/antivirus-bitdefender-total-security-5-postes-1-an.jpg,"89,000","89,000 DT",191131,Logiciels,2021-05-01 00:00:36.733961,Antivirus Bitdefender Total Security 5 Postes / 1 an,https://www.tunisianet.com.tn/logiciel-antivirus-tunisie/47487-antivirus-bitdefender-total-security-5-postes-1-an.html
3_lenovo,Ordinateur Portable,TN,TND,"Ecran 14.1"" HD LED - Processeur Intel Atom Quad Core Z8350, up to 1.92 Ghz, 2 Mo de cache - RAM 4 Go - Stockage 64 Go - Carte graphique Intel HD Graphic - Windows 10 - USB 2.0 - HDMI - Lecteur de Cartes - WebCam 0.3MP - Couleur: Silver - Garantie: 1 an",tunisianet.com.tn,https://www.tunisianet.com.tn/178841-home/pc-portable-lenovo-ideapad-330-15ast-dual-core-4-go-noir-sim-orange-60-go-offerte.jpg,"779,000","779,000 DT",81D600DDFE,Ordinateur Portable,2021-05-01 00:00:36.906166,Pc Portable Lenovo IdeaPad 330-15AST / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/44762-pc-portable-lenovo-ideapad-330-15ast-dual-core-4-go-noir-sim-orange-60-go-offerte.html
559_s-link,Accessoires et Périphériques,TN,TND,Connecteur BNC,tunisianet.com.tn,https://www.tunisianet.com.tn/175157-home/mini-lecteur-de-cartes-usb-s-link-cr43.jpg,"1,600","1,600 DT",SL-CR43,Accessoires et Périphériques,2021-05-01 00:00:37.101040,Mini Lecteur de cartes USB S-link CR43,https://www.tunisianet.com.tn/lecteur-de-cartes-hub-usb/44171-mini-lecteur-de-cartes-usb-s-link-cr43.html
29_dell,Ordinateur de Bureau,TN,TND,"Ecran Dell 18.5"" HD - Résolution 1366 ",tunisianet.com.tn,https://www.tunisianet.com.tn/180387-home/ecran-dell-20-lcd-hd-led-e2020h.jpg,"253,000","253,000 DT",E2020H,Ordinateur de Bureau,2021-05-01 00:00:37.250150,"Ecran Dell 20"" LCD HD LED E2020H",https://www.tunisianet.com.tn/ecran-ordinateur-tunisie/45017-ecran-dell-20-lcd-hd-led-e2020h.html
